pathway	n_donors	mean_delta	median_delta	frac_pos_donors	frac_neg_donors	t_stat	p	rank	q_BH	category
Notch_receptors	7	-0.008009459912584537	-0.002300432272070635	0.42857142857142855	0.5714285714285714	-0.32447481988484783	0.7565926490106322	3	0.7565926490106322	ambiguous
Hedgehog	7	0.04754282495173885	-0.00804133319016469	0.42857142857142855	0.5714285714285714	0.6493992576305854	0.5401284451477985	2	0.8101926677216977	ambiguous
Notch_ligands_on_self	7	0.07138113953313878	0.03401060995593109	0.7142857142857143	0.2857142857142857	1.65696723651307	0.1486026999269515	1	0.44580809978085445	A_lost_in_SOX9low
