gene	expected	n_datasets	n_correct_dir	pct_correct_dir	n_significant	median_rho
PROX1	+	9	6	66.66666666666666	3	0.37499999999999994
HNF4A	+	9	6	66.66666666666666	2	0.1455108359133127
FOXA2	+	9	2	22.22222222222222	0	-0.10788474617525999
SOX9	-	9	5	55.55555555555556	4	-0.4530455884900605
HNF1B	-	9	7	77.77777777777779	0	-0.2526391138058849
