direction	gene	program	n_donors	mean_logFC	median_logFC	frac_pos_donors	frac_neg_donors	p_one_sample_t	q_BH	wilc_logFC	wilc_q
UP	PROX1		7	1.9524869807281602	1.9542103000829307	1.0	0.0	1.3659086773055455e-06	0.004930930325073019		0.0
DOWN	PROX1		7	1.9524869807281602	1.9542103000829307	1.0	0.0	1.3659086773055455e-06	0.004930930325073019		0.0
